week,week_start,specialty,clinic_id,providers,booked_slots,effective_capacity,demand,utilisation,avg_wait_days,no_show_rate,cancel_rate,appt_minutes
27,2025-09-08,Cardiology,CLN-01,1,48.4,43.8,35.5,0.8098,6.52,0.1481,0.0967,30
28,2025-09-15,Cardiology,CLN-01,1,45.1,42.0,32.5,0.7741,3.4,0.0988,0.0872,30
29,2025-09-22,Cardiology,CLN-01,1,45.0,41.2,37.3,0.9049,15.4,0.1293,0.0948,30
30,2025-09-29,Cardiology,CLN-01,1,46.5,43.0,30.5,0.7079,10.84,0.1107,0.084,30
31,2025-10-06,Cardiology,CLN-01,1,45.9,42.0,35.0,0.8341,13.73,0.1427,0.0741,30
32,2025-10-13,Cardiology,CLN-01,1,45.5,42.6,35.6,0.8346,6.7,0.1075,0.0509,30
33,2025-10-20,Cardiology,CLN-01,1,43.8,40.9,27.2,0.6646,3.3,0.1092,0.057,30
34,2025-10-27,Cardiology,CLN-01,1,48.8,44.9,27.6,0.6148,6.44,0.1369,0.0628,30
35,2025-11-03,Cardiology,CLN-01,1,49.2,45.0,37.2,0.825,9.57,0.1346,0.0847,30
36,2025-11-10,Cardiology,CLN-01,1,44.3,41.1,34.4,0.8384,10.94,0.1161,0.0696,30
37,2025-11-17,Cardiology,CLN-01,1,43.7,39.8,31.2,0.7841,7.39,0.1389,0.0971,30
38,2025-11-24,Cardiology,CLN-01,1,46.8,43.1,33.7,0.7819,7.13,0.1236,0.0893,30
39,2025-12-01,Cardiology,CLN-01,1,44.5,41.0,30.3,0.7392,5.6,0.1134,0.0951,30
40,2025-12-08,Cardiology,CLN-01,1,39.9,36.5,34.7,0.951,27.13,0.1307,0.1016,30
41,2025-12-15,Cardiology,CLN-01,1,42.4,39.4,30.8,0.7829,10.04,0.1237,0.0593,30
42,2025-12-22,Cardiology,CLN-01,1,48.9,45.4,35.4,0.7809,8.08,0.1219,0.0646,30
43,2025-12-29,Cardiology,CLN-01,1,49.3,45.5,35.0,0.7687,5.57,0.1209,0.0836,30
44,2026-01-05,Cardiology,CLN-01,1,42.1,38.6,24.7,0.6417,5.48,0.129,0.0966,30
45,2026-01-12,Cardiology,CLN-01,1,39.5,36.1,28.3,0.7854,6.82,0.1201,0.1131,30
46,2026-01-19,Cardiology,CLN-01,1,45.8,42.3,29.6,0.6998,4.18,0.1128,0.0875,30
47,2026-01-26,Cardiology,CLN-01,1,43.4,40.3,30.2,0.7509,5.96,0.1079,0.085,30
48,2026-02-02,Cardiology,CLN-01,1,47.2,43.8,27.8,0.6341,1.28,0.1116,0.0793,30
49,2026-02-09,Cardiology,CLN-01,1,43.6,40.6,35.3,0.8701,12.53,0.1038,0.074,30
50,2026-02-16,Cardiology,CLN-01,1,44.6,40.8,32.5,0.7961,6.93,0.1359,0.0791,30
51,2026-02-23,Cardiology,CLN-01,1,45.6,42.3,29.7,0.7028,6.24,0.1156,0.0702,30
52,2026-03-02,Cardiology,CLN-01,1,46.2,43.5,30.4,0.6985,10.49,0.0876,0.0709,30
53,2026-03-09,Cardiology,CLN-01,1,45.0,41.0,36.1,0.882,14.68,0.1341,0.1062,30
54,2026-03-16,Cardiology,CLN-01,1,45.8,41.7,37.6,0.9028,10.95,0.1384,0.0996,30
55,2026-03-23,Cardiology,CLN-01,1,46.2,41.9,31.1,0.742,4.39,0.1362,0.1103,30
56,2026-03-30,Cardiology,CLN-01,1,42.8,39.2,32.4,0.8256,8.4,0.1213,0.1069,30
57,2026-04-06,Cardiology,CLN-01,1,48.7,44.8,39.0,0.8703,12.78,0.1111,0.1025,30
58,2026-04-13,Cardiology,CLN-01,1,44.3,41.1,32.5,0.7904,8.47,0.1235,0.0592,30
59,2026-04-20,Cardiology,CLN-01,1,50.7,46.6,36.6,0.7856,11.8,0.1185,0.0926,30
60,2026-04-27,Cardiology,CLN-01,1,48.0,44.3,30.5,0.6893,4.06,0.1342,0.0609,30
61,2026-05-04,Cardiology,CLN-01,1,46.3,42.8,37.1,0.8657,14.89,0.1169,0.0774,30
62,2026-05-11,Cardiology,CLN-01,1,46.3,42.8,37.0,0.8647,13.07,0.1071,0.0923,30
63,2026-05-18,Cardiology,CLN-01,1,46.6,43.4,39.5,0.909,14.22,0.0909,0.0954,30
64,2026-05-25,Cardiology,CLN-01,1,45.4,41.7,37.9,0.9088,10.54,0.1255,0.0913,30
65,2026-06-01,Cardiology,CLN-01,1,45.8,41.4,39.2,0.9465,33.18,0.144,0.111,30
66,2026-06-08,Cardiology,CLN-01,1,42.8,40.0,28.2,0.7044,3.17,0.0952,0.0831,30
67,2026-06-15,Cardiology,CLN-01,1,48.0,43.6,43.1,0.965,36.1,0.1426,0.0987,30
68,2026-06-22,Cardiology,CLN-01,1,43.9,40.7,44.6,0.965,33.81,0.1253,0.0665,30
69,2026-06-29,Cardiology,CLN-01,1,42.5,39.7,38.4,0.965,26.42,0.0939,0.0828,30
70,2026-07-06,Cardiology,CLN-01,1,47.9,44.1,37.8,0.8558,13.05,0.1178,0.0902,30
71,2026-07-13,Cardiology,CLN-01,1,44.7,41.5,36.3,0.8758,11.25,0.1039,0.09,30
72,2026-07-20,Cardiology,CLN-01,1,45.0,41.8,37.0,0.8848,14.57,0.0928,0.1052,30
73,2026-07-27,Cardiology,CLN-01,1,44.0,40.7,36.0,0.8846,11.04,0.1092,0.092,30
74,2026-08-03,Cardiology,CLN-01,1,47.8,44.0,46.4,0.965,31.32,0.1369,0.0631,30
75,2026-08-10,Cardiology,CLN-01,1,46.1,43.1,35.1,0.8152,6.09,0.0896,0.084,30
76,2026-08-17,Cardiology,CLN-01,1,49.6,46.6,38.7,0.8319,7.12,0.0865,0.0826,30
77,2026-08-24,Cardiology,CLN-01,1,46.8,43.4,38.5,0.8865,15.49,0.1126,0.0777,30
0,2025-03-03,Cardiology,CLN-02,2,89.5,81.7,50.1,0.6129,1.4,0.1457,0.077,30
1,2025-03-10,Cardiology,CLN-02,2,86.9,78.7,55.3,0.7023,3.8,0.151,0.0927,30
2,2025-03-17,Cardiology,CLN-02,2,85.2,80.7,52.6,0.652,2.84,0.066,0.0828,30
3,2025-03-24,Cardiology,CLN-02,2,87.2,79.3,48.4,0.6111,3.72,0.148,0.0861,30
4,2025-03-31,Cardiology,CLN-02,2,86.2,80.1,53.7,0.6707,2.52,0.1084,0.0779,30
5,2025-04-07,Cardiology,CLN-02,2,96.8,89.9,50.4,0.5603,1.0,0.1098,0.0767,30
6,2025-04-14,Cardiology,CLN-02,2,90.2,82.2,56.0,0.6816,2.68,0.1197,0.1238,30
7,2025-04-21,Cardiology,CLN-02,2,102.6,94.3,51.4,0.5448,1.0,0.1309,0.0786,30
8,2025-04-28,Cardiology,CLN-02,2,92.0,86.0,52.7,0.6131,2.0,0.0845,0.097,30
9,2025-05-05,Cardiology,CLN-02,2,89.1,82.6,63.2,0.7656,4.48,0.1022,0.0978,30
10,2025-05-12,Cardiology,CLN-02,2,89.6,82.6,51.5,0.6241,4.26,0.1313,0.0675,30
11,2025-05-19,Cardiology,CLN-02,2,96.0,89.3,65.5,0.733,1.0,0.1057,0.0811,30
12,2025-05-26,Cardiology,CLN-02,2,91.2,83.7,58.3,0.6966,6.31,0.1281,0.0858,30
13,2025-06-02,Cardiology,CLN-02,2,92.4,85.2,61.5,0.7211,6.49,0.129,0.0708,30
14,2025-06-09,Cardiology,CLN-02,2,95.1,87.3,57.3,0.6565,1.0,0.1322,0.0787,30
15,2025-06-16,Cardiology,CLN-02,2,97.5,89.7,69.1,0.7701,4.14,0.1131,0.1017,30
16,2025-06-23,Cardiology,CLN-02,2,92.2,86.1,66.8,0.7764,3.32,0.0873,0.0977,30
17,2025-06-30,Cardiology,CLN-02,2,100.3,93.9,62.6,0.667,2.17,0.0931,0.0786,30
18,2025-07-07,Cardiology,CLN-02,2,88.5,82.0,59.1,0.7206,4.66,0.1163,0.0784,30
19,2025-07-14,Cardiology,CLN-02,2,100.8,92.3,65.9,0.7148,3.76,0.1324,0.0905,30
20,2025-07-21,Cardiology,CLN-02,2,95.3,87.8,64.0,0.7284,1.22,0.104,0.1123,30
21,2025-07-28,Cardiology,CLN-02,2,100.4,93.4,61.4,0.6571,2.89,0.0975,0.0937,30
22,2025-08-04,Cardiology,CLN-02,2,94.7,88.1,70.0,0.7944,2.7,0.1028,0.0862,30
23,2025-08-11,Cardiology,CLN-02,2,98.0,89.9,55.5,0.6174,4.18,0.121,0.0995,30
24,2025-08-18,Cardiology,CLN-02,2,93.0,86.7,70.5,0.8136,2.5,0.0827,0.1097,30
25,2025-08-25,Cardiology,CLN-02,2,90.9,82.2,64.1,0.7791,5.73,0.1588,0.0834,30
26,2025-09-01,Cardiology,CLN-02,2,79.1,71.8,62.7,0.8725,10.13,0.1521,0.0846,30
27,2025-09-08,Cardiology,CLN-02,2,93.9,89.6,71.9,0.8025,4.85,0.0617,0.064,30
28,2025-09-15,Cardiology,CLN-02,2,88.8,84.4,59.6,0.7066,5.37,0.0779,0.0539,30
29,2025-09-22,Cardiology,CLN-02,2,83.9,77.0,60.5,0.7853,1.0,0.1198,0.1027,30
30,2025-09-29,Cardiology,CLN-02,2,86.3,79.2,58.4,0.737,1.0,0.1286,0.0868,30
31,2025-10-06,Cardiology,CLN-02,2,92.7,86.2,55.9,0.6479,1.0,0.1085,0.0735,30
32,2025-10-13,Cardiology,CLN-02,2,84.6,77.1,58.4,0.7576,4.28,0.1341,0.1026,30
33,2025-10-20,Cardiology,CLN-02,2,87.2,82.1,48.1,0.5867,2.2,0.0858,0.0708,30
34,2025-10-27,Cardiology,CLN-02,2,90.3,82.0,59.0,0.719,3.49,0.1373,0.1056,30
35,2025-11-03,Cardiology,CLN-02,2,93.8,86.3,58.8,0.6808,3.38,0.1255,0.0825,30
36,2025-11-10,Cardiology,CLN-02,2,95.1,88.8,60.1,0.6768,1.0,0.0912,0.0884,30
37,2025-11-17,Cardiology,CLN-02,2,103.4,96.2,56.9,0.5913,3.81,0.0987,0.089,30
38,2025-11-24,Cardiology,CLN-02,2,99.9,92.3,57.2,0.62,1.0,0.0981,0.1143,30
39,2025-12-01,Cardiology,CLN-02,2,95.6,88.9,53.3,0.6003,1.66,0.1032,0.0849,30
40,2025-12-08,Cardiology,CLN-02,2,91.8,84.6,58.7,0.6936,1.64,0.1167,0.092,30
41,2025-12-15,Cardiology,CLN-02,2,87.4,81.8,51.9,0.6344,1.98,0.1048,0.0585,30
42,2025-12-22,Cardiology,CLN-02,2,88.7,81.4,52.4,0.6435,1.85,0.1233,0.0954,30
43,2025-12-29,Cardiology,CLN-02,2,89.8,81.9,45.3,0.5537,3.04,0.1406,0.0885,30
44,2026-01-05,Cardiology,CLN-02,2,81.5,75.3,55.0,0.7311,2.79,0.1197,0.0809,30
45,2026-01-12,Cardiology,CLN-02,2,98.3,90.9,53.6,0.5896,3.54,0.1097,0.0921,30
46,2026-01-19,Cardiology,CLN-02,2,94.1,87.1,53.6,0.6157,2.94,0.1167,0.077,30
47,2026-01-26,Cardiology,CLN-02,2,90.4,85.1,55.2,0.6485,3.1,0.0979,0.0521,30
48,2026-02-02,Cardiology,CLN-02,2,92.4,85.4,48.5,0.5672,4.64,0.1094,0.0924,30
49,2026-02-09,Cardiology,CLN-02,2,88.1,81.6,45.7,0.5601,1.0,0.106,0.0925,30
50,2026-02-16,Cardiology,CLN-02,2,92.9,85.7,50.6,0.5911,1.0,0.1258,0.077,30
51,2026-02-23,Cardiology,CLN-02,2,95.9,87.8,61.2,0.6975,4.53,0.13,0.0954,30
52,2026-03-02,Cardiology,CLN-02,2,86.6,80.2,53.3,0.6644,1.78,0.1211,0.0684,30
53,2026-03-09,Cardiology,CLN-02,2,91.1,83.5,52.2,0.6247,3.81,0.1333,0.0824,30
54,2026-03-16,Cardiology,CLN-02,2,94.7,87.7,50.0,0.5699,3.73,0.1074,0.0907,30
55,2026-03-23,Cardiology,CLN-02,2,90.6,84.5,59.4,0.7028,5.72,0.1009,0.0803,30
56,2026-03-30,Cardiology,CLN-02,2,88.9,79.9,63.2,0.7911,4.56,0.1507,0.1211,30
57,2026-04-06,Cardiology,CLN-02,2,95.8,89.3,64.9,0.7269,2.8,0.0949,0.0912,30
58,2026-04-13,Cardiology,CLN-02,2,86.8,79.9,58.1,0.727,6.0,0.131,0.0746,30
59,2026-04-20,Cardiology,CLN-02,2,89.3,81.7,54.0,0.6604,3.02,0.1265,0.0976,30
60,2026-04-27,Cardiology,CLN-02,2,87.1,81.3,57.4,0.7058,5.55,0.0903,0.089,30
61,2026-05-04,Cardiology,CLN-02,2,89.4,83.9,64.1,0.7641,3.74,0.095,0.0663,30
62,2026-05-11,Cardiology,CLN-02,2,102.1,95.0,65.4,0.688,1.0,0.114,0.065,30
63,2026-05-18,Cardiology,CLN-02,2,93.1,87.7,60.9,0.6941,3.61,0.0796,0.0797,30
64,2026-05-25,Cardiology,CLN-02,2,87.5,80.9,67.7,0.8375,4.14,0.1149,0.0849,30
65,2026-06-01,Cardiology,CLN-02,2,96.8,89.7,67.7,0.7548,4.77,0.1138,0.077,30
66,2026-06-08,Cardiology,CLN-02,2,92.2,85.4,57.0,0.6675,1.25,0.1109,0.0861,30
67,2026-06-15,Cardiology,CLN-02,2,97.8,91.6,69.0,0.7537,1.0,0.087,0.0862,30
68,2026-06-22,Cardiology,CLN-02,2,92.4,85.9,67.4,0.7846,7.18,0.1178,0.0629,30
69,2026-06-29,Cardiology,CLN-02,2,91.4,84.9,62.4,0.735,3.64,0.1113,0.0773,30
70,2026-07-06,Cardiology,CLN-02,2,97.4,90.2,70.4,0.7803,2.89,0.099,0.1064,30
71,2026-07-13,Cardiology,CLN-02,2,93.0,87.1,66.7,0.7654,4.23,0.0939,0.0766,30
72,2026-07-20,Cardiology,CLN-02,2,91.0,83.4,65.4,0.7841,7.0,0.1404,0.0736,30
73,2026-07-27,Cardiology,CLN-02,2,98.3,90.8,58.8,0.6478,1.0,0.1281,0.0679,30
74,2026-08-03,Cardiology,CLN-02,2,89.3,82.0,64.5,0.7867,7.62,0.1139,0.1078,30
75,2026-08-10,Cardiology,CLN-02,2,96.5,89.5,65.7,0.7341,6.46,0.107,0.0847,30
76,2026-08-17,Cardiology,CLN-02,2,99.1,91.6,53.1,0.5797,1.8,0.1129,0.0865,30
77,2026-08-24,Cardiology,CLN-02,2,91.3,83.4,62.4,0.7482,1.41,0.1186,0.1183,30
0,2025-03-03,Cardiology,CLN-03,3,143.4,135.0,79.6,0.5891,1.21,0.0778,0.082,30
1,2025-03-10,Cardiology,CLN-03,3,132.7,123.0,87.1,0.7081,5.3,0.092,0.1116,30
2,2025-03-17,Cardiology,CLN-03,3,136.3,125.0,81.0,0.6482,4.32,0.1299,0.087,30
3,2025-03-24,Cardiology,CLN-03,3,143.6,133.1,99.5,0.7472,3.75,0.1005,0.0992,30
4,2025-03-31,Cardiology,CLN-03,3,120.9,110.8,103.4,0.9333,21.79,0.1358,0.0802,30
5,2025-04-07,Cardiology,CLN-03,3,139.3,127.3,90.3,0.7093,1.0,0.1422,0.0803,30
6,2025-04-14,Cardiology,CLN-03,3,147.8,139.1,93.8,0.6745,2.62,0.0966,0.0565,30
7,2025-04-21,Cardiology,CLN-03,3,143.4,131.1,108.3,0.8264,6.03,0.1356,0.0878,30
8,2025-04-28,Cardiology,CLN-03,3,137.8,128.0,108.4,0.8469,6.71,0.0889,0.1116,30
9,2025-05-05,Cardiology,CLN-03,3,137.0,128.0,94.3,0.7363,4.93,0.0999,0.0732,30
10,2025-05-12,Cardiology,CLN-03,3,137.9,125.9,85.9,0.6827,6.15,0.1374,0.0909,30
11,2025-05-19,Cardiology,CLN-03,3,134.7,124.7,111.1,0.8915,14.27,0.1025,0.1011,30
12,2025-05-26,Cardiology,CLN-03,3,141.1,131.0,101.9,0.7781,5.98,0.1223,0.0592,30
13,2025-06-02,Cardiology,CLN-03,3,133.3,122.3,105.5,0.8628,11.71,0.1324,0.0819,30
14,2025-06-09,Cardiology,CLN-03,3,138.3,127.9,94.3,0.7373,4.56,0.1116,0.0897,30
15,2025-06-16,Cardiology,CLN-03,3,143.5,134.0,108.5,0.81,4.11,0.104,0.0689,30
16,2025-06-23,Cardiology,CLN-03,3,142.1,130.4,108.1,0.8286,3.08,0.132,0.0819,30
17,2025-06-30,Cardiology,CLN-03,3,132.0,123.8,103.3,0.8341,8.27,0.1057,0.0511,30
18,2025-07-07,Cardiology,CLN-03,3,129.0,117.6,93.8,0.7973,8.42,0.1442,0.0844,30
19,2025-07-14,Cardiology,CLN-03,3,128.5,116.3,111.2,0.9558,23.81,0.1462,0.1045,30
20,2025-07-21,Cardiology,CLN-03,3,134.6,122.8,94.9,0.7727,2.59,0.1539,0.0659,30
21,2025-07-28,Cardiology,CLN-03,3,118.7,110.1,102.7,0.9326,19.71,0.1293,0.0523,30
22,2025-08-04,Cardiology,CLN-03,3,130.7,122.0,104.6,0.8574,9.97,0.0957,0.0852,30
23,2025-08-11,Cardiology,CLN-03,3,144.4,132.7,106.8,0.8048,5.26,0.1299,0.0816,30
24,2025-08-18,Cardiology,CLN-03,3,146.3,136.4,118.9,0.8723,10.67,0.1072,0.0709,30
25,2025-08-25,Cardiology,CLN-03,3,137.6,128.0,97.3,0.7599,3.45,0.1012,0.0856,30
26,2025-09-01,Cardiology,CLN-03,3,141.3,132.1,99.4,0.7521,3.55,0.0882,0.0891,30
27,2025-09-08,Cardiology,CLN-03,3,140.0,130.0,94.9,0.7302,1.0,0.1031,0.0897,30
28,2025-09-15,Cardiology,CLN-03,3,134.3,125.0,100.0,0.8,6.18,0.1077,0.0742,30
29,2025-09-22,Cardiology,CLN-03,3,138.1,128.2,104.1,0.8121,6.51,0.1211,0.0622,30
30,2025-09-29,Cardiology,CLN-03,3,135.0,128.5,96.2,0.7489,5.21,0.0614,0.0743,30
31,2025-10-06,Cardiology,CLN-03,3,133.0,122.1,112.4,0.9204,22.19,0.1219,0.0972,30
32,2025-10-13,Cardiology,CLN-03,3,151.4,138.8,114.9,0.828,6.22,0.1286,0.0907,30
33,2025-10-20,Cardiology,CLN-03,3,144.4,135.3,110.4,0.8162,6.21,0.0911,0.0801,30
34,2025-10-27,Cardiology,CLN-03,3,130.1,120.2,84.3,0.7017,1.0,0.1092,0.0962,30
35,2025-11-03,Cardiology,CLN-03,3,132.6,123.4,101.2,0.8205,5.84,0.1133,0.0663,30
36,2025-11-10,Cardiology,CLN-03,3,142.8,132.7,99.4,0.7492,4.45,0.1119,0.0738,30
37,2025-11-17,Cardiology,CLN-03,3,135.7,125.7,102.9,0.8185,11.28,0.1091,0.0883,30
38,2025-11-24,Cardiology,CLN-03,3,138.8,130.5,96.1,0.7361,8.84,0.0934,0.0614,30
39,2025-12-01,Cardiology,CLN-03,3,137.8,126.1,91.5,0.7258,2.08,0.1334,0.088,30
40,2025-12-08,Cardiology,CLN-03,3,150.0,136.9,81.5,0.5951,4.11,0.1483,0.0725,30
41,2025-12-15,Cardiology,CLN-03,3,140.4,128.9,84.0,0.6518,3.75,0.1305,0.0831,30
42,2025-12-22,Cardiology,CLN-03,3,136.5,127.0,80.6,0.6346,2.11,0.0983,0.0903,30
43,2025-12-29,Cardiology,CLN-03,3,135.1,122.8,89.8,0.7308,4.51,0.1459,0.0886,30
44,2026-01-05,Cardiology,CLN-03,3,158.5,147.2,100.3,0.681,1.0,0.0982,0.0966,30
45,2026-01-12,Cardiology,CLN-03,3,140.1,127.6,78.9,0.6184,4.79,0.1443,0.0867,30
46,2026-01-19,Cardiology,CLN-03,3,138.8,126.5,87.8,0.6943,5.92,0.1536,0.0694,30
47,2026-01-26,Cardiology,CLN-03,3,131.4,118.5,97.8,0.8257,6.02,0.1598,0.0942,30
48,2026-02-02,Cardiology,CLN-03,3,137.7,128.3,94.5,0.7365,5.47,0.1011,0.0803,30
49,2026-02-09,Cardiology,CLN-03,3,134.1,121.3,77.6,0.6396,1.0,0.1504,0.099,30
50,2026-02-16,Cardiology,CLN-03,3,130.5,121.7,82.5,0.6783,6.55,0.0915,0.0934,30
51,2026-02-23,Cardiology,CLN-03,3,138.5,127.8,88.5,0.6922,3.08,0.1001,0.1163,30
52,2026-03-02,Cardiology,CLN-03,3,136.9,124.8,106.6,0.8545,6.19,0.1356,0.0988,30
53,2026-03-09,Cardiology,CLN-03,3,145.6,134.1,100.3,0.7479,5.21,0.1158,0.0952,30
54,2026-03-16,Cardiology,CLN-03,3,140.2,130.5,93.3,0.7149,3.49,0.1039,0.0809,30
55,2026-03-23,Cardiology,CLN-03,3,138.9,129.6,91.3,0.7043,4.13,0.0931,0.0903,30
56,2026-03-30,Cardiology,CLN-03,3,145.9,134.6,109.9,0.8161,7.28,0.1247,0.0768,30
57,2026-04-06,Cardiology,CLN-03,3,139.4,127.4,98.6,0.7735,5.6,0.1388,0.084,30
58,2026-04-13,Cardiology,CLN-03,3,135.8,125.8,110.5,0.8782,9.41,0.104,0.0957,30
59,2026-04-20,Cardiology,CLN-03,3,130.8,119.9,111.0,0.9262,18.61,0.1238,0.1,30
60,2026-04-27,Cardiology,CLN-03,3,130.7,121.2,97.0,0.8007,6.11,0.1115,0.0802,30
61,2026-05-04,Cardiology,CLN-03,3,128.5,119.4,91.6,0.7674,7.52,0.1088,0.0784,30
62,2026-05-11,Cardiology,CLN-03,3,142.9,132.7,100.3,0.7554,5.94,0.091,0.1088,30
63,2026-05-18,Cardiology,CLN-03,3,141.3,127.8,119.2,0.9327,16.1,0.1419,0.1136,30
64,2026-05-25,Cardiology,CLN-03,3,130.1,123.3,100.7,0.8166,7.82,0.0772,0.0627,30
65,2026-06-01,Cardiology,CLN-03,3,134.2,123.5,96.1,0.7778,5.63,0.117,0.0969,30
66,2026-06-08,Cardiology,CLN-03,3,137.7,126.7,106.6,0.8419,10.95,0.1045,0.1193,30
67,2026-06-15,Cardiology,CLN-03,3,135.0,126.5,109.2,0.8629,6.05,0.0817,0.0913,30
68,2026-06-22,Cardiology,CLN-03,3,142.1,130.2,116.6,0.8962,9.04,0.1411,0.0738,30
69,2026-06-29,Cardiology,CLN-03,3,135.5,126.8,110.9,0.8742,11.08,0.0967,0.0733,30
70,2026-07-06,Cardiology,CLN-03,3,136.3,123.3,120.2,0.965,33.21,0.1449,0.1083,30
71,2026-07-13,Cardiology,CLN-03,3,134.2,124.5,131.7,0.965,37.1,0.1187,0.0674,30
72,2026-07-20,Cardiology,CLN-03,3,140.9,129.1,124.5,0.9641,34.35,0.1402,0.0738,30
73,2026-07-27,Cardiology,CLN-03,3,126.2,116.6,105.6,0.9064,20.15,0.1198,0.0814,30
74,2026-08-03,Cardiology,CLN-03,3,147.3,137.3,111.1,0.8088,3.54,0.1014,0.078,30
75,2026-08-10,Cardiology,CLN-03,3,129.6,118.7,127.9,0.965,46.5,0.1106,0.1241,30
76,2026-08-17,Cardiology,CLN-03,3,145.5,133.8,131.2,0.965,21.98,0.129,0.0791,30
77,2026-08-24,Cardiology,CLN-03,3,147.6,133.9,115.6,0.8639,12.85,0.1334,0.1183,30
0,2025-03-03,Cardiology,CLN-04,3,138.3,128.1,83.1,0.6488,8.86,0.1123,0.0836,30
1,2025-03-10,Cardiology,CLN-04,3,141.5,131.2,69.6,0.5305,6.9,0.1153,0.074,30
2,2025-03-17,Cardiology,CLN-04,3,151.3,140.4,92.7,0.6604,8.52,0.1032,0.0918,30
3,2025-03-24,Cardiology,CLN-04,3,124.0,115.6,84.5,0.7311,4.89,0.106,0.073,30
4,2025-03-31,Cardiology,CLN-04,3,140.1,130.4,103.3,0.7925,10.82,0.1142,0.0645,30
5,2025-04-07,Cardiology,CLN-04,3,140.9,130.0,96.3,0.7409,11.86,0.1251,0.0758,30
6,2025-04-14,Cardiology,CLN-04,3,151.1,141.9,90.4,0.6374,6.59,0.0767,0.0954,30
7,2025-04-21,Cardiology,CLN-04,3,142.5,130.8,89.6,0.6851,4.41,0.1205,0.0983,30
8,2025-04-28,Cardiology,CLN-04,3,138.5,127.5,98.9,0.7761,8.12,0.1297,0.0766,30
9,2025-05-05,Cardiology,CLN-04,3,135.1,124.7,100.7,0.8073,7.15,0.1344,0.0588,30
10,2025-05-12,Cardiology,CLN-04,3,151.1,137.8,102.0,0.7402,5.62,0.1345,0.0971,30
11,2025-05-19,Cardiology,CLN-04,3,140.7,130.8,93.3,0.7136,4.95,0.0981,0.0928,30
12,2025-05-26,Cardiology,CLN-04,3,129.4,119.9,94.0,0.784,9.23,0.113,0.0788,30
13,2025-06-02,Cardiology,CLN-04,3,141.4,129.6,112.3,0.8666,12.67,0.122,0.1018,30
14,2025-06-09,Cardiology,CLN-04,3,129.8,119.3,100.3,0.8409,12.17,0.1298,0.0824,30
